iter	Passed	Remaining
0	1	118
1	2	108
2	3	101
3	3	92
4	4	92
5	5	87
6	6	81
7	6	77
8	7	74
9	8	73
10	9	73
11	10	73
12	11	74
13	11	73
14	12	70
15	13	69
16	14	68
17	14	66
18	15	65
19	16	65
20	17	65
21	18	64
22	19	64
23	20	63
24	21	63
25	22	62
26	22	61
27	23	61
28	24	60
29	25	58
30	26	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	42	40
51	43	39
52	43	38
53	44	38
54	45	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	61	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	76	7
91	77	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	81	1
98	82	0
99	83	0
